r b swpd free buff cache si so bi bo in cs us sy id wa st CEST
1 1 0 36 15 696 0 0 16916 128 11029 23748 19 8 49 24 0 2022-04-17T13:36:00
1 2 0 29 15 700 0 0 15720 0 9359 18666 18 8 48 26 0 2022-04-17T13:36:01
1 1 0 27 16 700 0 0 13932 144 9769 19446 18 8 50 25 0 2022-04-17T13:36:02
0 2 0 39 15 686 0 0 13280 0 9590 19262 25 12 43 20 0 2022-04-17T13:36:03
2 0 0 32 15 689 0 0 15744 0 9184 18596 18 8 48 26 0 2022-04-17T13:36:04
2 0 0 28 15 690 0 0 14856 72 9686 19739 28 11 37 23 0 2022-04-17T13:36:05
2 0 0 39 15 677 0 0 13812 0 9708 18936 19 10 48 24 0 2022-04-17T13:36:06
0 1 0 36 15 678 0 0 14504 0 9923 20572 18 6 55 21 0 2022-04-17T13:36:07
1 0 0 38 15 676 0 0 11888 56 9136 17376 10 3 74 13 0 2022-04-17T13:36:08
5 0 0 31 15 680 0 0 3660 0 10308 21369 39 10 47 4 0 2022-04-17T13:36:09
2 0 0 28 15 682 0 0 2356 40 13109 29827 36 16 45 3 0 2022-04-17T13:36:10
3 0 0 32 15 676 0 0 700 0 9839 18570 45 10 44 1 0 2022-04-17T13:36:11
3 0 0 28 15 677 0 0 340 0 9319 17980 59 11 30 0 0 2022-04-17T13:36:12
6 0 0 31 14 670 0 0 364 0 13171 29537 56 20 23 0 0 2022-04-17T13:36:13
1 0 0 30 14 670 0 0 220 36 12238 26600 55 14 31 0 0 2022-04-17T13:36:14
7 0 0 34 14 664 0 0 24 52 10381 21092 58 13 29 0 0 2022-04-17T13:36:15
8 0 0 33 14 664 0 0 336 0 12721 28011 56 18 26 0 0 2022-04-17T13:36:16
3 0 0 27 15 665 0 0 1192 0 12684 28051 45 17 37 1 0 2022-04-17T13:36:17
1 0 0 32 12 616 0 0 1772 0 8889 16971 26 8 64 2 0 2022-04-17T13:36:18
0 0 0 30 12 617 0 0 708 44 8814 16545 16 3 80 1 0 2022-04-17T13:36:19
0 0 0 30 12 617 0 0 0 0 8497 15914 0 1 99 0 0 2022-04-17T13:36:20
3 0 0 29 12 617 0 0 180 52 9226 17180 6 3 92 0 0 2022-04-17T13:36:21
2 0 0 33 12 611 0 0 88 0 11588 23318 36 9 55 0 0 2022-04-17T13:36:22
1 1 0 30 13 614 0 0 4032 0 9431 17857 19 6 71 5 0 2022-04-17T13:36:23
2 0 0 27 13 616 0 0 976 48 9789 17994 6 44 48 1 0 2022-04-17T13:36:24
2 0 0 35 12 605 0 0 2116 0 10228 20673 11 44 43 2 0 2022-04-17T13:36:25
3 0 0 33 12 606 0 0 144 40 10813 21828 19 43 38 0 0 2022-04-17T13:36:26
4 0 0 31 13 604 0 0 4844 0 11968 25606 23 17 55 4 0 2022-04-17T13:36:27
1 0 0 32 13 605 0 0 1536 0 11122 22478 39 14 45 2 0 2022-04-17T13:36:28
1 0 0 28 13 608 0 0 3160 816 9227 18000 19 4 72 5 0 2022-04-17T13:36:29
1 0 0 35 13 597 0 0 1728 0 9076 17223 8 34 57 2 0 2022-04-17T13:36:30
1 0 0 33 13 597 0 0 180 0 10220 21678 19 33 48 0 0 2022-04-17T13:36:31
0 0 0 32 13 598 0 0 100 0 10472 22516 11 8 81 0 0 2022-04-17T13:36:32
0 0 0 32 13 598 0 0 0 0 9702 19656 11 4 85 0 0 2022-04-17T13:36:33
0 0 0 32 13 598 0 0 0 236 10242 21818 10 5 84 0 0 2022-04-17T13:36:34
0 0 0 32 13 598 0 0 0 0 8546 15783 1 2 98 0 0 2022-04-17T13:36:35
0 0 0 32 13 598 0 0 0 0 8886 17093 3 2 96 0 0 2022-04-17T13:36:36
0 0 0 32 13 598 0 0 0 0 8188 16011 0 3 97 0 0 2022-04-17T13:36:37
0 0 0 32 13 598 0 0 0 0 8569 16328 1 1 98 0 0 2022-04-17T13:36:38
1 0 0 32 13 598 0 0 0 48 8853 15959 0 1 99 0 0 2022-04-17T13:36:39
1 0 0 32 13 598 0 0 0 0 8944 16099 0 1 98 0 0 2022-04-17T13:36:40
11 0 0 28 13 598 0 0 264 372 10850 23197 11 16 72 1 0 2022-04-17T13:36:41
0 0 0 36 13 580 0 0 520 4 11654 24178 20 17 63 0 0 2022-04-17T13:36:42
0 1 0 41 13 583 0 0 3224 176 10863 23334 12 12 72 5 0 2022-04-17T13:36:43
3 0 0 31 14 587 0 0 3188 0 9367 18831 16 8 72 4 0 2022-04-17T13:36:44
1 0 0 36 14 578 0 0 1764 128 9883 20114 19 7 71 3 0 2022-04-17T13:36:45
0 0 0 36 14 578 0 0 68 0 13084 29287 22 12 66 0 0 2022-04-17T13:36:46
0 0 0 36 14 578 0 0 0 0 10478 21011 11 6 83 0 0 2022-04-17T13:36:47
0 0 0 36 14 578 0 0 0 100 8673 17001 4 3 93 0 0 2022-04-17T13:36:48
0 0 0 36 14 578 0 0 0 0 8678 16269 1 2 97 0 0 2022-04-17T13:36:49
0 0 0 36 14 578 0 0 0 96 8629 16185 0 1 99 0 0 2022-04-17T13:36:50
0 0 0 36 14 578 0 0 0 0 8757 15870 0 3 97 0 0 2022-04-17T13:36:51
1 0 0 36 14 578 0 0 0 0 8868 16180 0 1 99 0 0 2022-04-17T13:36:52
2 0 0 35 14 580 0 0 1316 64 9212 16901 17 3 79 1 0 2022-04-17T13:36:53
4 0 0 32 14 570 0 0 964 380 11838 25995 47 28 25 1 0 2022-04-17T13:36:54
11 0 0 39 14 559 0 0 348 4 13618 33430 52 26 21 1 0 2022-04-17T13:36:55
2 0 0 45 14 560 0 0 1428 184 12276 27095 28 14 56 2 0 2022-04-17T13:36:56
3 0 0 36 15 563 0 0 2936 0 9670 18590 17 7 72 4 0 2022-04-17T13:36:57
3 0 0 28 15 568 0 0 4444 0 9157 18611 15 6 73 6 0 2022-04-17T13:36:58
1 0 0 28 15 564 0 0 5520 0 10606 22539 14 9 71 6 0 2022-04-17T13:36:59
1 0 0 36 15 553 0 0 24 0 13362 30417 38 16 46 0 0 2022-04-17T13:37:00
5 0 0 34 15 554 0 0 268 316 17336 37906 25 26 49 0 0 2022-04-17T13:37:01
1 0 0 32 15 554 0 0 148 0 16803 34400 32 30 38 0 0 2022-04-17T13:37:02
5 0 0 29 15 543 0 0 1032 0 16101 32683 35 17 47 1 0 2022-04-17T13:37:03
2 0 0 31 15 539 0 0 1056 2640 14284 27266 34 10 51 4 0 2022-04-17T13:37:04
5 0 0 27 15 532 0 0 848 0 14117 27224 43 11 45 1 0 2022-04-17T13:37:05
2 0 0 32 15 516 0 0 912 2656 14500 27758 40 14 43 3 0 2022-04-17T13:37:06
4 0 0 36 15 501 0 0 1592 3056 15990 33592 45 31 22 2 0 2022-04-17T13:37:07
5 0 0 47 15 493 0 0 4328 4296 16652 34433 57 22 12 9 0 2022-04-17T13:37:08
4 0 0 34 15 502 0 0 1704 3912 15847 31714 45 23 26 6 0 2022-04-17T13:37:09
12 0 0 33 15 508 0 0 3400 7332 16649 34143 39 21 24 16 0 2022-04-17T13:37:10
2 2 0 32 15 491 0 0 4520 3244 16428 34572 49 33 11 6 0 2022-04-17T13:37:11
1 2 0 38 15 484 0 0 4596 6928 15441 32791 42 27 12 19 0 2022-04-17T13:37:12
4 0 0 30 15 494 0 0 4984 3328 16372 33494 47 23 20 10 0 2022-04-17T13:37:13
5 0 0 33 15 478 0 0 4576 5872 15032 28166 56 17 11 16 0 2022-04-17T13:37:14
2 2 0 30 15 483 0 0 6940 4280 14665 27764 58 19 7 16 0 2022-04-17T13:37:15
5 0 0 32 15 479 0 0 5524 6928 14748 28813 48 13 16 23 0 2022-04-17T13:37:16
11 0 0 36 14 472 0 0 6400 3824 16314 34006 48 23 18 12 0 2022-04-17T13:37:17
5 5 0 32 14 471 0 0 464 6324 17927 40337 52 26 18 5 0 2022-04-17T13:37:18
5 0 0 29 14 470 0 0 1392 3656 17259 36441 55 23 16 6 0 2022-04-17T13:37:19
2 0 0 39 14 455 0 0 468 2552 17969 38915 46 23 27 4 0 2022-04-17T13:37:20
1 0 0 35 14 458 0 0 716 2680 14592 28631 22 11 63 4 0 2022-04-17T13:37:21
1 0 0 31 14 461 0 0 960 2632 14894 27618 24 6 65 5 0 2022-04-17T13:37:22
3 0 0 32 14 458 0 0 908 2624 14753 27401 22 7 65 6 0 2022-04-17T13:37:23
2 0 0 31 14 459 0 0 492 5932 14924 28592 37 11 41 11 0 2022-04-17T13:37:24
3 2 0 30 14 458 0 0 784 8104 15602 30497 36 13 41 10 0 2022-04-17T13:37:25
1 2 0 42 14 456 0 0 4056 4328 17180 35861 47 19 28 6 0 2022-04-17T13:37:26
4 0 0 33 14 466 0 0 4752 6968 16543 33762 33 16 34 17 0 2022-04-17T13:37:27
3 0 0 32 14 465 0 0 5740 4060 14440 27854 30 14 45 11 0 2022-04-17T13:37:28
4 0 0 32 14 464 0 0 4560 6796 15096 28724 36 10 37 17 0 2022-04-17T13:37:29
0 3 0 33 14 457 0 0 4108 8460 14422 27395 31 12 42 16 0 2022-04-17T13:37:30
5 1 0 32 14 454 0 0 4108 3444 15348 28913 43 13 29 14 0 2022-04-17T13:37:31
3 0 0 41 14 459 0 0 4700 4292 14969 26992 25 30 35 9 0 2022-04-17T13:37:32
5 0 0 33 14 465 0 0 2780 6764 15272 27718 16 51 26 7 0 2022-04-17T13:37:33
8 0 0 34 13 452 0 0 648 6388 15081 30084 23 55 15 6 0 2022-04-17T13:37:34
6 0 0 29 13 452 0 0 760 3800 14595 29731 33 44 20 3 0 2022-04-17T13:37:35
2 0 0 44 13 433 0 0 1172 7188 15562 32051 42 38 16 5 0 2022-04-17T13:37:36
5 2 0 47 13 441 0 0 3856 4208 14893 32616 46 29 21 4 0 2022-04-17T13:37:37
5 0 0 32 13 442 0 0 2848 4892 16126 32816 42 25 24 9 0 2022-04-17T13:37:38
13 1 0 30 13 440 0 0 4616 5128 15253 30458 45 15 33 7 0 2022-04-17T13:37:39
4 0 0 28 12 442 0 0 3608 4840 15618 31155 38 14 33 15 0 2022-04-17T13:37:40
1 2 0 32 12 435 0 0 2628 4304 15454 31124 33 13 41 13 0 2022-04-17T13:37:41
10 2 0 27 12 437 0 0 4008 3100 15852 30667 34 10 48 8 0 2022-04-17T13:37:42
5 1 0 27 11 433 0 0 3908 6816 15322 31017 28 13 48 10 0 2022-04-17T13:37:43
2 1 0 44 10 421 0 0 4172 6468 15520 30542 23 22 44 11 0 2022-04-17T13:37:44
2 1 0 32 10 429 0 0 3748 4288 15770 32044 28 26 39 7 0 2022-04-17T13:37:45
2 0 0 33 9 426 0 0 3392 4392 15464 30649 32 15 46 7 0 2022-04-17T13:37:46
1 0 0 39 8 419 0 0 296 6424 15142 30221 39 12 42 8 0 2022-04-17T13:37:47
0 1 0 43 8 412 0 0 1232 8576 15315 30173 31 12 46 12 0 2022-04-17T13:37:48
1 1 0 31 8 422 0 0 3596 6068 15225 30684 31 10 52 8 0 2022-04-17T13:37:49
6 1 0 32 8 417 0 0 4064 4928 15219 31116 34 13 47 6 0 2022-04-17T13:37:50
2 0 0 34 8 424 0 0 3744 4680 15815 31397 38 12 42 8 0 2022-04-17T13:37:51
2 0 0 31 8 424 0 0 216 6388 15348 32352 35 10 49 7 0 2022-04-17T13:37:52
5 0 0 28 8 425 0 0 168 6664 15082 30872 32 11 48 9 0 2022-04-17T13:37:53
